title;doi
Post-Traumatic Shoulder Movement Disorders: A Challenging Differential Diagnosis Between Organic and Functional;10.1016/j.neuroimage.2017.02.067
Post-Traumatic Shoulder Movement Disorders: A Challenging Differential Diagnosis Between Organic and Functional;10.3390/jcm10215085
